scenario,num_uavs,seed,episode,episode_coverage,episode_conflict_sim,episode_conflict_recomputed_120,conflict_events_120,pair_steps,episode_path,corrections,uav_steps,accepted,cva,fallback_nearest,raw_released,max_empty_streak,n_empty_streaks_ge2
urban,4,43,2,91.42857142857143,0.0,0.0,0,210,18352.203125,0,140,140,0,0,0,0,0
urban,4,43,3,88.33333333333333,0.0,0.0,0,210,18545.50390625,0,140,140,0,0,0,0,0
urban,4,43,4,97.14285714285714,0.0,0.0,0,210,17917.53515625,0,140,140,0,0,0,0,0
urban,4,43,5,98.33333333333333,0.0,0.0,0,210,17984.123046875,0,140,140,0,0,0,0,0
urban,4,43,6,96.66666666666667,0.0,0.0,0,210,18211.8828125,0,140,140,0,0,0,0,0
urban,4,43,7,100.0,0.0,0.0,0,192,16741.65625,0,140,128,0,0,0,0,0
urban,4,43,8,100.0,0.0,0.0,0,210,18019.97265625,0,140,140,0,0,0,0,0
urban,4,43,9,86.66666666666667,0.0,0.0,0,210,18337.033203125,0,140,140,0,0,0,0,0
urban,4,43,10,97.14285714285714,0.0,0.0,0,210,18034.986328125,0,140,140,0,0,0,0,0
urban,4,43,11,85.71428571428571,0.0,0.0,0,210,18389.798828125,6,140,134,6,0,0,0,0
urban,4,44,0,100.0,0.0,0.0,0,204,17667.548828125,0,140,136,0,0,0,0,0
urban,4,44,1,100.0,0.0,0.0,0,204,17561.486328125,1,140,135,1,0,0,0,0
urban,4,44,2,96.66666666666667,0.0,0.0,0,210,18440.921875,0,140,140,0,0,0,0,0
urban,4,44,3,97.14285714285714,0.0,0.0,0,210,18032.666015625,6,140,134,6,0,0,0,0
urban,4,44,4,98.33333333333333,0.0,0.0,0,210,18137.205078125,0,140,140,0,0,0,0,0
urban,4,44,5,97.77777777777777,0.0,0.0,0,210,18266.078125,0,140,140,0,0,0,0,0
urban,4,44,6,100.0,0.0,0.0,0,156,13693.3662109375,0,140,104,0,0,0,0,0
urban,4,44,7,100.0,0.0,0.0,0,198,17125.619140625,0,140,132,0,0,0,0,0
urban,4,44,8,100.0,0.0,0.0,0,150,13308.408203125,0,140,100,0,0,0,0,0
urban,4,44,9,100.0,0.0,0.0,0,162,14015.1630859375,0,140,108,0,0,0,0,0
urban,4,44,10,100.0,0.0,0.0,0,192,16647.681640625,0,140,128,0,0,0,0,0
urban,4,44,11,91.66666666666666,0.0,0.0,0,210,18105.693359375,0,140,140,0,0,0,0,0
urban,4,45,0,71.66666666666667,0.0,0.0,0,210,18795.7734375,0,140,140,0,0,0,0,0
urban,4,45,1,85.71428571428571,0.0,0.0,0,210,18500.86328125,0,140,140,0,0,0,0,0
urban,4,45,2,86.66666666666667,0.0,0.0,0,210,18611.4921875,2,140,138,2,0,0,0,0
urban,4,45,3,100.0,0.0,0.0,0,192,16772.109375,6,140,122,6,0,0,0,0
urban,4,45,4,100.0,0.0,0.0,0,168,14698.044921875,0,140,112,0,0,0,0,0
urban,4,45,5,100.0,0.0,0.0,0,156,13487.658203125,0,140,104,0,0,0,0,0
urban,4,45,6,100.0,0.0,0.0,0,168,14745.1640625,0,140,112,0,0,0,0,0
urban,4,45,7,100.0,0.0,0.0,0,192,16923.916015625,0,140,128,0,0,0,0,0
urban,4,45,8,86.66666666666667,0.0,0.0,0,210,18187.017578125,0,140,140,0,0,0,0,0
urban,4,45,9,100.0,0.0,0.0,0,174,15002.4228515625,0,140,116,0,0,0,0,0
urban,4,45,10,91.42857142857143,0.0,0.0,0,210,18118.23046875,0,140,140,0,0,0,0,0
urban,4,45,11,95.0,0.0,0.0,0,210,18131.81640625,0,140,140,0,0,0,0,0
urban,4,46,0,100.0,0.0,0.0,0,186,16391.197265625,0,140,124,0,0,0,0,0
urban,4,46,1,100.0,0.0,0.0,0,192,16577.18359375,0,140,128,0,0,0,0,0
urban,4,46,2,100.0,0.0,0.0,0,198,17190.701171875,0,140,132,0,0,0,0,0
urban,4,46,3,83.33333333333334,0.0,0.0,0,210,18660.103515625,0,140,140,0,0,0,0,0
urban,4,46,4,100.0,0.0,0.0,0,198,17276.435546875,0,140,132,0,0,0,0,0
urban,4,46,5,100.0,0.0,0.0,0,198,17031.9375,0,140,132,0,0,0,0,0
urban,4,46,6,91.42857142857143,0.0,0.0,0,210,18429.416015625,0,140,140,0,0,0,0,0
urban,4,46,7,100.0,0.0,0.0,0,162,14166.212890625,0,140,108,0,0,0,0,0
urban,4,46,8,100.0,0.0,0.0,0,186,16093.2783203125,0,140,124,0,0,0,0,0
urban,4,46,9,73.33333333333333,0.0,0.0,0,210,18720.7265625,6,140,132,6,0,2,2,1
urban,4,46,10,86.66666666666667,0.0,0.0,0,210,18201.57421875,0,140,140,0,0,0,0,0
urban,4,46,11,95.55555555555556,0.0,0.0,0,210,18227.046875,0,140,140,0,0,0,0,0
urban,6,42,0,100.0,0.0,0.0,0,270,14349.2685546875,0,210,108,0,0,0,0,0
urban,6,42,1,100.0,0.0,0.0,0,480,24972.71484375,2,210,190,2,0,0,0,0
urban,6,42,2,98.33333333333333,0.0,0.0,0,525,27168.291015625,0,210,210,0,0,0,0,0
urban,6,42,3,100.0,0.0,0.0,0,510,25765.662109375,14,210,190,12,2,0,1,0
urban,6,42,4,100.0,0.0,0.0,0,330,17383.521484375,0,210,132,0,0,0,0,0
urban,6,42,5,100.0,0.0,0.0,0,375,19364.81640625,0,210,150,0,0,0,0,0
urban,6,42,6,100.0,0.0,0.0,0,300,15760.51953125,0,210,120,0,0,0,0,0
urban,6,42,7,100.0,0.0,0.0,0,375,19375.1015625,0,210,150,0,0,0,0,0
urban,6,42,8,100.0,0.0,0.0,0,285,15124.490234375,0,210,114,0,0,0,0,0
urban,6,42,9,100.0,0.0,0.0,0,240,12781.1318359375,0,210,96,0,0,0,0,0
